instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
21048834,82222,NIFTY22AUGFUT,NIFTY,0,2022-08-25,0,0.05,50,FUT,NFO-FUT,NFO
13756162,53735,NIFTY22JULFUT,NIFTY,0,2022-07-28,0,0.05,50,FUT,NFO-FUT,NFO
9604354,37517,NIFTY22SEPFUT,NIFTY,0,2022-09-29,0,0.05,50,FUT,NFO-FUT,NFO
21048578,82221,BANKNIFTY22AUGFUT,BANKNIFTY,0,2022-08-25,0,0.05,25,FUT,NFO-FUT,NFO
13755906,53734,BANKNIFTY22JULFUT,BANKNIFTY,0,2022-07-28,0,0.05,25,FUT,NFO-FUT,NFO
9604098,37516,BANKNIFTY22SEPFUT,BANKNIFTY,0,2022-09-29,0,0.05,25,FUT,NFO-FUT,NFO
21049090,82223,AARTIIND22AUGFUT,AARTIIND,0,2022-08-25,0,0.05,850,FUT,NFO-FUT,NFO
13756418,53736,AARTIIND22JULFUT,AARTIIND,0,2022-07-28,0,0.05,850,FUT,NFO-FUT,NFO
9607170,37528,AARTIIND22SEPFUT,AARTIIND,0,2022-09-29,0,0.05,850,FUT,NFO-FUT,NFO
21049346,82224,ABB22AUGFUT,ABB,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13758210,53743,ABB22JULFUT,ABB,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
9612290,37548,ABB22SEPFUT,ABB,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21049602,82225,ABBOTINDIA22AUGFUT,ABBOTINDIA,0,2022-08-25,0,0.05,40,FUT,NFO-FUT,NFO
13758722,53745,ABBOTINDIA22JULFUT,ABBOTINDIA,0,2022-07-28,0,0.05,40,FUT,NFO-FUT,NFO
9612546,37549,ABBOTINDIA22SEPFUT,ABBOTINDIA,0,2022-09-29,0,0.05,40,FUT,NFO-FUT,NFO
21049858,82226,ABCAPITAL22AUGFUT,ABCAPITAL,0,2022-08-25,0,0.05,5400,FUT,NFO-FUT,NFO
13758978,53746,ABCAPITAL22JULFUT,ABCAPITAL,0,2022-07-28,0,0.05,5400,FUT,NFO-FUT,NFO
9619970,37578,ABCAPITAL22SEPFUT,ABCAPITAL,0,2022-09-29,0,0.05,5400,FUT,NFO-FUT,NFO
21050114,82227,ABFRL22AUGFUT,ABFRL,0,2022-08-25,0,0.05,2600,FUT,NFO-FUT,NFO
13759746,53749,ABFRL22JULFUT,ABFRL,0,2022-07-28,0,0.05,2600,FUT,NFO-FUT,NFO
9682690,37823,ABFRL22SEPFUT,ABFRL,0,2022-09-29,0,0.05,2600,FUT,NFO-FUT,NFO
21050370,82228,ACC22AUGFUT,ACC,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13760258,53751,ACC22JULFUT,ACC,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
9682946,37824,ACC22SEPFUT,ACC,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21050626,82229,ADANIENT22AUGFUT,ADANIENT,0,2022-08-25,0,0.05,500,FUT,NFO-FUT,NFO
13760514,53752,ADANIENT22JULFUT,ADANIENT,0,2022-07-28,0,0.05,500,FUT,NFO-FUT,NFO
9683202,37825,ADANIENT22SEPFUT,ADANIENT,0,2022-09-29,0,0.05,500,FUT,NFO-FUT,NFO
21050882,82230,ADANIPORTS22AUGFUT,ADANIPORTS,0,2022-08-25,0,0.05,1250,FUT,NFO-FUT,NFO
13763074,53762,ADANIPORTS22JULFUT,ADANIPORTS,0,2022-07-28,0,0.05,1250,FUT,NFO-FUT,NFO
9683458,37826,ADANIPORTS22SEPFUT,ADANIPORTS,0,2022-09-29,0,0.05,1250,FUT,NFO-FUT,NFO
21051650,82233,ALKEM22AUGFUT,ALKEM,0,2022-08-25,0,0.05,200,FUT,NFO-FUT,NFO
13763330,53763,ALKEM22JULFUT,ALKEM,0,2022-07-28,0,0.05,200,FUT,NFO-FUT,NFO
9683714,37827,ALKEM22SEPFUT,ALKEM,0,2022-09-29,0,0.05,200,FUT,NFO-FUT,NFO
21051906,82234,AMARAJABAT22AUGFUT,AMARAJABAT,0,2022-08-25,0,0.05,1000,FUT,NFO-FUT,NFO
13763586,53764,AMARAJABAT22JULFUT,AMARAJABAT,0,2022-07-28,0,0.05,1000,FUT,NFO-FUT,NFO
9683970,37828,AMARAJABAT22SEPFUT,AMARAJABAT,0,2022-09-29,0,0.05,1000,FUT,NFO-FUT,NFO
21052162,82235,AMBUJACEM22AUGFUT,AMBUJACEM,0,2022-08-25,0,0.05,1800,FUT,NFO-FUT,NFO
13763842,53765,AMBUJACEM22JULFUT,AMBUJACEM,0,2022-07-28,0,0.05,1800,FUT,NFO-FUT,NFO
10300418,40236,AMBUJACEM22SEPFUT,AMBUJACEM,0,2022-09-29,0,0.05,1800,FUT,NFO-FUT,NFO
21052418,82236,APOLLOHOSP22AUGFUT,APOLLOHOSP,0,2022-08-25,0,0.05,125,FUT,NFO-FUT,NFO
13764098,53766,APOLLOHOSP22JULFUT,APOLLOHOSP,0,2022-07-28,0,0.05,125,FUT,NFO-FUT,NFO
10300674,40237,APOLLOHOSP22SEPFUT,APOLLOHOSP,0,2022-09-29,0,0.05,125,FUT,NFO-FUT,NFO
21052674,82237,APOLLOTYRE22AUGFUT,APOLLOTYRE,0,2022-08-25,0,0.05,3500,FUT,NFO-FUT,NFO
13764354,53767,APOLLOTYRE22JULFUT,APOLLOTYRE,0,2022-07-28,0,0.05,3500,FUT,NFO-FUT,NFO
10624258,41501,APOLLOTYRE22SEPFUT,APOLLOTYRE,0,2022-09-29,0,0.05,3500,FUT,NFO-FUT,NFO
21052930,82238,ASHOKLEY22AUGFUT,ASHOKLEY,0,2022-08-25,0,0.05,5000,FUT,NFO-FUT,NFO
13764610,53768,ASHOKLEY22JULFUT,ASHOKLEY,0,2022-07-28,0,0.05,5000,FUT,NFO-FUT,NFO
10624514,41502,ASHOKLEY22SEPFUT,ASHOKLEY,0,2022-09-29,0,0.05,5000,FUT,NFO-FUT,NFO
21053186,82239,ASIANPAINT22AUGFUT,ASIANPAINT,0,2022-08-25,0,0.05,200,FUT,NFO-FUT,NFO
13764866,53769,ASIANPAINT22JULFUT,ASIANPAINT,0,2022-07-28,0,0.05,200,FUT,NFO-FUT,NFO
11175682,43655,ASIANPAINT22SEPFUT,ASIANPAINT,0,2022-09-29,0,0.05,200,FUT,NFO-FUT,NFO
21053442,82240,ASTRAL22AUGFUT,ASTRAL,0,2022-08-25,0,0.05,275,FUT,NFO-FUT,NFO
13766658,53776,ASTRAL22JULFUT,ASTRAL,0,2022-07-28,0,0.05,275,FUT,NFO-FUT,NFO
11183874,43687,ASTRAL22SEPFUT,ASTRAL,0,2022-09-29,0,0.05,275,FUT,NFO-FUT,NFO
21053698,82241,ATUL22AUGFUT,ATUL,0,2022-08-25,0,0.05,75,FUT,NFO-FUT,NFO
13767426,53779,ATUL22JULFUT,ATUL,0,2022-07-28,0,0.05,75,FUT,NFO-FUT,NFO
11346946,44324,ATUL22SEPFUT,ATUL,0,2022-09-29,0,0.05,75,FUT,NFO-FUT,NFO
21053954,82242,AUBANK22AUGFUT,AUBANK,0,2022-08-25,0,0.05,1000,FUT,NFO-FUT,NFO
13768450,53783,AUBANK22JULFUT,AUBANK,0,2022-07-28,0,0.05,1000,FUT,NFO-FUT,NFO
11347202,44325,AUBANK22SEPFUT,AUBANK,0,2022-09-29,0,0.05,1000,FUT,NFO-FUT,NFO
21054210,82243,AUROPHARMA22AUGFUT,AUROPHARMA,0,2022-08-25,0,0.05,1000,FUT,NFO-FUT,NFO
13774850,53808,AUROPHARMA22JULFUT,AUROPHARMA,0,2022-07-28,0,0.05,1000,FUT,NFO-FUT,NFO
11959554,46717,AUROPHARMA22SEPFUT,AUROPHARMA,0,2022-09-29,0,0.05,1000,FUT,NFO-FUT,NFO
21054466,82244,AXISBANK22AUGFUT,AXISBANK,0,2022-08-25,0,0.05,1200,FUT,NFO-FUT,NFO
13777154,53817,AXISBANK22JULFUT,AXISBANK,0,2022-07-28,0,0.05,1200,FUT,NFO-FUT,NFO
11959810,46718,AXISBANK22SEPFUT,AXISBANK,0,2022-09-29,0,0.05,1200,FUT,NFO-FUT,NFO
21054722,82245,BAJAJ-AUTO22AUGFUT,BAJAJ-AUTO,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13777410,53818,BAJAJ-AUTO22JULFUT,BAJAJ-AUTO,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
11960066,46719,BAJAJ-AUTO22SEPFUT,BAJAJ-AUTO,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21054978,82246,BAJAJFINSV22AUGFUT,BAJAJFINSV,0,2022-08-25,0,0.05,50,FUT,NFO-FUT,NFO
13780738,53831,BAJAJFINSV22JULFUT,BAJAJFINSV,0,2022-07-28,0,0.05,50,FUT,NFO-FUT,NFO
11960322,46720,BAJAJFINSV22SEPFUT,BAJAJFINSV,0,2022-09-29,0,0.05,50,FUT,NFO-FUT,NFO
21055234,82247,BAJFINANCE22AUGFUT,BAJFINANCE,0,2022-08-25,0,0.05,125,FUT,NFO-FUT,NFO
13787906,53859,BAJFINANCE22JULFUT,BAJFINANCE,0,2022-07-28,0,0.05,125,FUT,NFO-FUT,NFO
12147458,47451,BAJFINANCE22SEPFUT,BAJFINANCE,0,2022-09-29,0,0.05,125,FUT,NFO-FUT,NFO
21055490,82248,BALKRISIND22AUGFUT,BALKRISIND,0,2022-08-25,0,0.05,300,FUT,NFO-FUT,NFO
13792770,53878,BALKRISIND22JULFUT,BALKRISIND,0,2022-07-28,0,0.05,300,FUT,NFO-FUT,NFO
12147714,47452,BALKRISIND22SEPFUT,BALKRISIND,0,2022-09-29,0,0.05,300,FUT,NFO-FUT,NFO
21055746,82249,BALRAMCHIN22AUGFUT,BALRAMCHIN,0,2022-08-25,0,0.05,1600,FUT,NFO-FUT,NFO
13798914,53902,BALRAMCHIN22JULFUT,BALRAMCHIN,0,2022-07-28,0,0.05,1600,FUT,NFO-FUT,NFO
12147970,47453,BALRAMCHIN22SEPFUT,BALRAMCHIN,0,2022-09-29,0,0.05,1600,FUT,NFO-FUT,NFO
21056002,82250,BANDHANBNK22AUGFUT,BANDHANBNK,0,2022-08-25,0,0.05,1800,FUT,NFO-FUT,NFO
13799170,53903,BANDHANBNK22JULFUT,BANDHANBNK,0,2022-07-28,0,0.05,1800,FUT,NFO-FUT,NFO
12148226,47454,BANDHANBNK22SEPFUT,BANDHANBNK,0,2022-09-29,0,0.05,1800,FUT,NFO-FUT,NFO
21056258,82251,BANKBARODA22AUGFUT,BANKBARODA,0,2022-08-25,0,0.05,5850,FUT,NFO-FUT,NFO
13799426,53904,BANKBARODA22JULFUT,BANKBARODA,0,2022-07-28,0,0.05,5850,FUT,NFO-FUT,NFO
12148482,47455,BANKBARODA22SEPFUT,BANKBARODA,0,2022-09-29,0,0.05,5850,FUT,NFO-FUT,NFO
21056514,82252,BATAINDIA22AUGFUT,BATAINDIA,0,2022-08-25,0,0.05,275,FUT,NFO-FUT,NFO
13799682,53905,BATAINDIA22JULFUT,BATAINDIA,0,2022-07-28,0,0.05,275,FUT,NFO-FUT,NFO
12148738,47456,BATAINDIA22SEPFUT,BATAINDIA,0,2022-09-29,0,0.05,275,FUT,NFO-FUT,NFO
21056770,82253,BEL22AUGFUT,BEL,0,2022-08-25,0,0.05,3800,FUT,NFO-FUT,NFO
13800194,53907,BEL22JULFUT,BEL,0,2022-07-28,0,0.05,3800,FUT,NFO-FUT,NFO
12149762,47460,BEL22SEPFUT,BEL,0,2022-09-29,0,0.05,3800,FUT,NFO-FUT,NFO
21057026,82254,BERGEPAINT22AUGFUT,BERGEPAINT,0,2022-08-25,0,0.05,1100,FUT,NFO-FUT,NFO
13800450,53908,BERGEPAINT22JULFUT,BERGEPAINT,0,2022-07-28,0,0.05,1100,FUT,NFO-FUT,NFO
12150018,47461,BERGEPAINT22SEPFUT,BERGEPAINT,0,2022-09-29,0,0.05,1100,FUT,NFO-FUT,NFO
21057282,82255,BHARATFORG22AUGFUT,BHARATFORG,0,2022-08-25,0,0.05,1000,FUT,NFO-FUT,NFO
13803522,53920,BHARATFORG22JULFUT,BHARATFORG,0,2022-07-28,0,0.05,1000,FUT,NFO-FUT,NFO
12212226,47704,BHARATFORG22SEPFUT,BHARATFORG,0,2022-09-29,0,0.05,1000,FUT,NFO-FUT,NFO
21057538,82256,BHARTIARTL22AUGFUT,BHARTIARTL,0,2022-08-25,0,0.05,950,FUT,NFO-FUT,NFO
13804034,53922,BHARTIARTL22JULFUT,BHARTIARTL,0,2022-07-28,0,0.05,950,FUT,NFO-FUT,NFO
12212482,47705,BHARTIARTL22SEPFUT,BHARTIARTL,0,2022-09-29,0,0.05,950,FUT,NFO-FUT,NFO
21057794,82257,BHEL22AUGFUT,BHEL,0,2022-08-25,0,0.05,10500,FUT,NFO-FUT,NFO
13804290,53923,BHEL22JULFUT,BHEL,0,2022-07-28,0,0.05,10500,FUT,NFO-FUT,NFO
12214530,47713,BHEL22SEPFUT,BHEL,0,2022-09-29,0,0.05,10500,FUT,NFO-FUT,NFO
21058050,82258,BIOCON22AUGFUT,BIOCON,0,2022-08-25,0,0.05,2300,FUT,NFO-FUT,NFO
13804546,53924,BIOCON22JULFUT,BIOCON,0,2022-07-28,0,0.05,2300,FUT,NFO-FUT,NFO
12214786,47714,BIOCON22SEPFUT,BIOCON,0,2022-09-29,0,0.05,2300,FUT,NFO-FUT,NFO
21058818,82261,BOSCHLTD22AUGFUT,BOSCHLTD,0,2022-08-25,0,0.05,50,FUT,NFO-FUT,NFO
13805314,53927,BOSCHLTD22JULFUT,BOSCHLTD,0,2022-07-28,0,0.05,50,FUT,NFO-FUT,NFO
12215042,47715,BOSCHLTD22SEPFUT,BOSCHLTD,0,2022-09-29,0,0.05,50,FUT,NFO-FUT,NFO
21059074,82262,BPCL22AUGFUT,BPCL,0,2022-08-25,0,0.05,1800,FUT,NFO-FUT,NFO
13806082,53930,BPCL22JULFUT,BPCL,0,2022-07-28,0,0.05,1800,FUT,NFO-FUT,NFO
12215298,47716,BPCL22SEPFUT,BPCL,0,2022-09-29,0,0.05,1800,FUT,NFO-FUT,NFO
21059330,82263,BRITANNIA22AUGFUT,BRITANNIA,0,2022-08-25,0,0.05,200,FUT,NFO-FUT,NFO
13806338,53931,BRITANNIA22JULFUT,BRITANNIA,0,2022-07-28,0,0.05,200,FUT,NFO-FUT,NFO
12519170,48903,BRITANNIA22SEPFUT,BRITANNIA,0,2022-09-29,0,0.05,200,FUT,NFO-FUT,NFO
21059586,82264,BSOFT22AUGFUT,BSOFT,0,2022-08-25,0,0.05,1300,FUT,NFO-FUT,NFO
13810178,53946,BSOFT22JULFUT,BSOFT,0,2022-07-28,0,0.05,1300,FUT,NFO-FUT,NFO
12519426,48904,BSOFT22SEPFUT,BSOFT,0,2022-09-29,0,0.05,1300,FUT,NFO-FUT,NFO
21068802,82300,CANBK22AUGFUT,CANBK,0,2022-08-25,0,0.05,2700,FUT,NFO-FUT,NFO
13810434,53947,CANBK22JULFUT,CANBK,0,2022-07-28,0,0.05,2700,FUT,NFO-FUT,NFO
12519682,48905,CANBK22SEPFUT,CANBK,0,2022-09-29,0,0.05,2700,FUT,NFO-FUT,NFO
21069058,82301,CANFINHOME22AUGFUT,CANFINHOME,0,2022-08-25,0,0.05,975,FUT,NFO-FUT,NFO
13814274,53962,CANFINHOME22JULFUT,CANFINHOME,0,2022-07-28,0,0.05,975,FUT,NFO-FUT,NFO
12519938,48906,CANFINHOME22SEPFUT,CANFINHOME,0,2022-09-29,0,0.05,975,FUT,NFO-FUT,NFO
21069314,82302,CHAMBLFERT22AUGFUT,CHAMBLFERT,0,2022-08-25,0,0.05,1500,FUT,NFO-FUT,NFO
13814530,53963,CHAMBLFERT22JULFUT,CHAMBLFERT,0,2022-07-28,0,0.05,1500,FUT,NFO-FUT,NFO
12817410,50068,CHAMBLFERT22SEPFUT,CHAMBLFERT,0,2022-09-29,0,0.05,1500,FUT,NFO-FUT,NFO
21069570,82303,CHOLAFIN22AUGFUT,CHOLAFIN,0,2022-08-25,0,0.05,1250,FUT,NFO-FUT,NFO
13816834,53972,CHOLAFIN22JULFUT,CHOLAFIN,0,2022-07-28,0,0.05,1250,FUT,NFO-FUT,NFO
12818690,50073,CHOLAFIN22SEPFUT,CHOLAFIN,0,2022-09-29,0,0.05,1250,FUT,NFO-FUT,NFO
21070338,82306,CIPLA22AUGFUT,CIPLA,0,2022-08-25,0,0.05,650,FUT,NFO-FUT,NFO
13817090,53973,CIPLA22JULFUT,CIPLA,0,2022-07-28,0,0.05,650,FUT,NFO-FUT,NFO
12883458,50326,CIPLA22SEPFUT,CIPLA,0,2022-09-29,0,0.05,650,FUT,NFO-FUT,NFO
21070594,82307,COALINDIA22AUGFUT,COALINDIA,0,2022-08-25,0,0.05,4200,FUT,NFO-FUT,NFO
13819394,53982,COALINDIA22JULFUT,COALINDIA,0,2022-07-28,0,0.05,4200,FUT,NFO-FUT,NFO
12883714,50327,COALINDIA22SEPFUT,COALINDIA,0,2022-09-29,0,0.05,4200,FUT,NFO-FUT,NFO
21070850,82308,COFORGE22AUGFUT,COFORGE,0,2022-08-25,0,0.05,150,FUT,NFO-FUT,NFO
13819650,53983,COFORGE22JULFUT,COFORGE,0,2022-07-28,0,0.05,150,FUT,NFO-FUT,NFO
13062146,51024,COFORGE22SEPFUT,COFORGE,0,2022-09-29,0,0.05,150,FUT,NFO-FUT,NFO
21071106,82309,COLPAL22AUGFUT,COLPAL,0,2022-08-25,0,0.05,350,FUT,NFO-FUT,NFO
13819906,53984,COLPAL22JULFUT,COLPAL,0,2022-07-28,0,0.05,350,FUT,NFO-FUT,NFO
13062402,51025,COLPAL22SEPFUT,COLPAL,0,2022-09-29,0,0.05,350,FUT,NFO-FUT,NFO
21071362,82310,CONCOR22AUGFUT,CONCOR,0,2022-08-25,0,0.05,1000,FUT,NFO-FUT,NFO
13820162,53985,CONCOR22JULFUT,CONCOR,0,2022-07-28,0,0.05,1000,FUT,NFO-FUT,NFO
13062658,51026,CONCOR22SEPFUT,CONCOR,0,2022-09-29,0,0.05,1000,FUT,NFO-FUT,NFO
21071618,82311,COROMANDEL22AUGFUT,COROMANDEL,0,2022-08-25,0,0.05,700,FUT,NFO-FUT,NFO
13822978,53996,COROMANDEL22JULFUT,COROMANDEL,0,2022-07-28,0,0.05,700,FUT,NFO-FUT,NFO
13062914,51027,COROMANDEL22SEPFUT,COROMANDEL,0,2022-09-29,0,0.05,700,FUT,NFO-FUT,NFO
21071874,82312,CROMPTON22AUGFUT,CROMPTON,0,2022-08-25,0,0.05,1500,FUT,NFO-FUT,NFO
13823234,53997,CROMPTON22JULFUT,CROMPTON,0,2022-07-28,0,0.05,1500,FUT,NFO-FUT,NFO
13107458,51201,CROMPTON22SEPFUT,CROMPTON,0,2022-09-29,0,0.05,1500,FUT,NFO-FUT,NFO
21072130,82313,CUB22AUGFUT,CUB,0,2022-08-25,0,0.05,5000,FUT,NFO-FUT,NFO
13828098,54016,CUB22JULFUT,CUB,0,2022-07-28,0,0.05,5000,FUT,NFO-FUT,NFO
13107970,51203,CUB22SEPFUT,CUB,0,2022-09-29,0,0.05,5000,FUT,NFO-FUT,NFO
21073410,82318,CUMMINSIND22AUGFUT,CUMMINSIND,0,2022-08-25,0,0.05,600,FUT,NFO-FUT,NFO
13828354,54017,CUMMINSIND22JULFUT,CUMMINSIND,0,2022-07-28,0,0.05,600,FUT,NFO-FUT,NFO
13108482,51205,CUMMINSIND22SEPFUT,CUMMINSIND,0,2022-09-29,0,0.05,600,FUT,NFO-FUT,NFO
21073666,82319,DABUR22AUGFUT,DABUR,0,2022-08-25,0,0.05,1250,FUT,NFO-FUT,NFO
13846018,54086,DABUR22JULFUT,DABUR,0,2022-07-28,0,0.05,1250,FUT,NFO-FUT,NFO
13109506,51209,DABUR22SEPFUT,DABUR,0,2022-09-29,0,0.05,1250,FUT,NFO-FUT,NFO
21073922,82320,DALBHARAT22AUGFUT,DALBHARAT,0,2022-08-25,0,0.05,500,FUT,NFO-FUT,NFO
13846274,54087,DALBHARAT22JULFUT,DALBHARAT,0,2022-07-28,0,0.05,500,FUT,NFO-FUT,NFO
13109762,51210,DALBHARAT22SEPFUT,DALBHARAT,0,2022-09-29,0,0.05,500,FUT,NFO-FUT,NFO
21075202,82325,DEEPAKNTR22AUGFUT,DEEPAKNTR,0,2022-08-25,0,0.05,250,FUT,NFO-FUT,NFO
13846530,54088,DEEPAKNTR22JULFUT,DEEPAKNTR,0,2022-07-28,0,0.05,250,FUT,NFO-FUT,NFO
13110274,51212,DEEPAKNTR22SEPFUT,DEEPAKNTR,0,2022-09-29,0,0.05,250,FUT,NFO-FUT,NFO
21075458,82326,DELTACORP22AUGFUT,DELTACORP,0,2022-08-25,0,0.05,2300,FUT,NFO-FUT,NFO
13846786,54089,DELTACORP22JULFUT,DELTACORP,0,2022-07-28,0,0.05,2300,FUT,NFO-FUT,NFO
13110530,51213,DELTACORP22SEPFUT,DELTACORP,0,2022-09-29,0,0.05,2300,FUT,NFO-FUT,NFO
21075714,82327,DIVISLAB22AUGFUT,DIVISLAB,0,2022-08-25,0,0.05,150,FUT,NFO-FUT,NFO
13847042,54090,DIVISLAB22JULFUT,DIVISLAB,0,2022-07-28,0,0.05,150,FUT,NFO-FUT,NFO
13110786,51214,DIVISLAB22SEPFUT,DIVISLAB,0,2022-09-29,0,0.05,150,FUT,NFO-FUT,NFO
21076482,82330,DIXON22AUGFUT,DIXON,0,2022-08-25,0,0.05,125,FUT,NFO-FUT,NFO
13847298,54091,DIXON22JULFUT,DIXON,0,2022-07-28,0,0.05,125,FUT,NFO-FUT,NFO
13502466,52744,DIXON22SEPFUT,DIXON,0,2022-09-29,0,0.05,125,FUT,NFO-FUT,NFO
21076738,82331,DLF22AUGFUT,DLF,0,2022-08-25,0,0.05,1650,FUT,NFO-FUT,NFO
13847554,54092,DLF22JULFUT,DLF,0,2022-07-28,0,0.05,1650,FUT,NFO-FUT,NFO
13502722,52745,DLF22SEPFUT,DLF,0,2022-09-29,0,0.05,1650,FUT,NFO-FUT,NFO
21076994,82332,DRREDDY22AUGFUT,DRREDDY,0,2022-08-25,0,0.05,125,FUT,NFO-FUT,NFO
13847810,54093,DRREDDY22JULFUT,DRREDDY,0,2022-07-28,0,0.05,125,FUT,NFO-FUT,NFO
14000642,54690,DRREDDY22SEPFUT,DRREDDY,0,2022-09-29,0,0.05,125,FUT,NFO-FUT,NFO
21077250,82333,EICHERMOT22AUGFUT,EICHERMOT,0,2022-08-25,0,0.05,350,FUT,NFO-FUT,NFO
13848066,54094,EICHERMOT22JULFUT,EICHERMOT,0,2022-07-28,0,0.05,350,FUT,NFO-FUT,NFO
14000898,54691,EICHERMOT22SEPFUT,EICHERMOT,0,2022-09-29,0,0.05,350,FUT,NFO-FUT,NFO
21077506,82334,ESCORTS22AUGFUT,ESCORTS,0,2022-08-25,0,0.05,550,FUT,NFO-FUT,NFO
13848322,54095,ESCORTS22JULFUT,ESCORTS,0,2022-07-28,0,0.05,550,FUT,NFO-FUT,NFO
14001154,54692,ESCORTS22SEPFUT,ESCORTS,0,2022-09-29,0,0.05,550,FUT,NFO-FUT,NFO
21077762,82335,EXIDEIND22AUGFUT,EXIDEIND,0,2022-08-25,0,0.05,3600,FUT,NFO-FUT,NFO
13848578,54096,EXIDEIND22JULFUT,EXIDEIND,0,2022-07-28,0,0.05,3600,FUT,NFO-FUT,NFO
14001410,54693,EXIDEIND22SEPFUT,EXIDEIND,0,2022-09-29,0,0.05,3600,FUT,NFO-FUT,NFO
21078018,82336,FEDERALBNK22AUGFUT,FEDERALBNK,0,2022-08-25,0,0.05,10000,FUT,NFO-FUT,NFO
13849090,54098,FEDERALBNK22JULFUT,FEDERALBNK,0,2022-07-28,0,0.05,10000,FUT,NFO-FUT,NFO
14001666,54694,FEDERALBNK22SEPFUT,FEDERALBNK,0,2022-09-29,0,0.05,10000,FUT,NFO-FUT,NFO
9902338,38681,FINNIFTY22AUGFUT,FINNIFTY,0,2022-08-30,0,0.05,40,FUT,NFO-FUT,NFO
12581634,49147,FINNIFTY22SEPFUT,FINNIFTY,0,2022-09-27,0,0.05,40,FUT,NFO-FUT,NFO
